Name, Discount Price, Original Price, Discount Rate, Link
Nike Air Max 270 Premium, 109.97, 170, 35.311764705882354, https://www.nike.com/t/air-max-270-premium-mens-shoe-cHkT9c
Nike Air Max 270 Premium, 109.97, 170, 35.311764705882354, https://www.nike.com/t/air-max-270-premium-mens-shoe-cHkT9c/BQ6171-100
Nike Air Max 270 Premium, 109.97, 170, 35.311764705882354, https://www.nike.com/t/air-max-270-premium-mens-shoe-cHkT9c/BQ6171-200
Nike Air Max 97 Premium, 118.97, 170, 30.017647058823528, https://www.nike.com/t/air-max-97-premium-mens-shoe-yATY9Z7G/312834-201
Nike Air Max 97 Premium, 135.97, 170, 20.017647058823528, https://www.nike.com/t/air-max-97-premium-mens-shoe-yATY9Z7G
Nike Air Force 1 '07 LV8 Style, 74.97, 100, 25.029999999999998, https://www.nike.com/t/air-force-1-07-lv8-style-mens-shoe-b1CXg6/AQ0117-002
Nike Air Force 1 '07 LV8 Style, 74.97, 100, 25.029999999999998, https://www.nike.com/t/air-force-1-07-lv8-style-mens-shoe-b1CXg6
Nike Air Force 1 '07 LV8 Style, 69.97, 100, 30.03, https://www.nike.com/t/air-force-1-07-lv8-style-mens-shoe-b1CXg6/AQ0117-300
Nike Air Force 1 '07 LV8 Style, 69.97, 100, 30.03, https://www.nike.com/t/air-force-1-07-lv8-style-mens-shoe-b1CXg6/AQ0117-800
Nike Air Force 1 Utility, 100.97, 145, 30.365517241379315, https://www.nike.com/t/air-force-1-utility-mens-shoe-gbnJRW/AO1531-700
Nike Air Force 1 Utility, 100.97, 145, 30.365517241379315, https://www.nike.com/t/air-force-1-utility-mens-shoe-gbnJRW/AO1531-301
Nike Air Force 1 Utility, 115.97, 145, 20.02068965517242, https://www.nike.com/t/air-force-1-utility-mens-shoe-gbnJRW/AO1531-300
Nike Zoom Fly Flyknit, 103.97, 160, 35.01875, https://www.nike.com/t/zoom-fly-flyknit-mens-running-shoe-DDRrjb/AR4561-003
Nike Zoom Fly Flyknit, 127.97, 160, 20.018749999999997, https://www.nike.com/t/zoom-fly-flyknit-mens-running-shoe-DDRrjb/AR4561-101
Nike Zoom Fly Flyknit, 143.97, 160, 10.018749999999999, https://www.nike.com/t/zoom-fly-flyknit-mens-running-shoe-DDRrjb/AR4561-400
Nike Zoom Fly Flyknit, 103.97, 160, 35.01875, https://www.nike.com/t/zoom-fly-flyknit-mens-running-shoe-DDRrjb/AR4561-303
Nike Zoom Fly Flyknit, 111.97, 160, 30.018750000000004, https://www.nike.com/t/zoom-fly-flyknit-mens-running-shoe-DDRrjb/AR4561-002
